timestamp,"(activity,active_users,front-end,service)","(state,throughput,carts,service)","(state,throughput,catalogue,service)","(state,throughput,front-end,service)","(state,throughput,payment,service)","(state,throughput,user,service)","(state,latency,carts,service)","(state,latency,catalogue,service)","(state,latency,front-end,service)","(state,latency,payment,service)","(state,latency,shipping,service)","(state,latency,user,service)","(state,errors,carts,service)","(state,errors,front-end,service)","(state,errors,shipping,service)","(state,errors,user,service)","(state,counter_status_200,carts,service)","(state,counter_status_200,orders,service)","(state,counter_status_200,shipping,service)"
2023-10-12 06:27:00,54.0,2.0443535842851426,10.844203462145284,24.88269180908359,0.6666666666666666,2.3776721034620683,0.043750000000000004,0.01306666666666667,0.06729625303787345,0.004821428571428572,,0.019230769230769246,0.06666370383538509,42.46949796653109,0.0,0.06666370383538509,0.06666370383538509,0.06666370383538509,0.06666666666666667
2023-10-12 06:27:15,52.5,2.133380741794262,10.399999999999999,24.93333333333331,0.666607412674429,2.2009782125389066,0.03833333333333333,0.012214285714285717,0.06770925110132188,0.004655172413793104,,0.019000000000000003,0.04444543212071379,44.53333333333333,0.0,0.11116051578479325,0.06666814818107068,0.06666666666666667,0.06666518521810627
2023-10-12 06:27:30,51.5,2.155603457854619,10.6,25.46494567028862,0.6666518521810627,2.1333807417942623,0.09516666666666668,0.011374999999999984,0.06664430845257342,0.004655172413793103,,0.018175000000000018,0.04444543212071379,47.91111111111113,0.0,0.11111358030178448,0.06666814818107068,0.06666666666666667,0.06665926008221308
2023-10-12 06:27:45,53.3,1.911153581190693,10.17800395564346,24.67207383266389,0.6665926008221308,2.0889353096735483,0.12454545454545472,0.011852941176470611,0.06720682145294572,0.0045000000000000005,,0.017099999999999997,0.13333629636214137,42.91015755205441,0.0,0.11111358030178448,0.06666814818107068,0.06667111140742717,0.0666681481810707
2023-10-12 06:28:00,53.0,2.1110641985733647,11.733333333333333,27.9978894471975,0.6667111140742716,2.3556079023978307,0.15999999999999992,0.016586956521739145,0.07346487584130687,0.0045000000000000005,,0.01781578947368421,0.19999555565431876,43.287926934957,0.0,0.11111358030178448,0.06666518521810626,0.06666518521810627,0.06666666666666667
2023-10-12 06:28:15,52.7,2.422222222222222,13.021932845936757,29.097658320010282,0.6666666666666666,2.711050865536322,0.18823529411764703,0.02011111111111113,0.09185287647802437,0.0045000000000000005,,0.019111111111111106,0.24444444444444444,47.15660348007734,0.0,0.0888869136241417,0.06666666666666667,0.06666518521810627,0.06667259311938839
2023-10-12 06:28:30,52.0,2.7767287913454917,14.73333333333333,31.41756359570955,0.666740748972108,3.199857784098485,0.20312500000000008,0.02118382352941177,0.12003151148551111,0.0045000000000000005,,0.01848275862068966,0.22213830330763934,57.267939287539726,0.0,0.04444246922359007,0.0666414909922918,0.06664445184938354,0.06666666666666667
2023-10-12 06:28:45,53.0,2.6667259272428274,14.244444444444442,27.784020947286415,0.6666666666666666,3.1999288904691015,0.20339285714285713,0.019261904761904772,0.12344145144757276,0.0045000000000000005,,0.018357142857142874,0.15555901242249826,59.7111111111111,0.0,0.0,0.06666814818107068,0.06666814818107068,0.06666666666666667
2023-10-12 06:29:00,51.7,2.511111111111111,15.089224204982333,30.37335655221454,0.6666666666666666,3.200071112691393,0.20632352941176468,0.019948529411764702,0.11411590213293829,0.0045000000000000005,,0.020114285714285716,0.13333333333333333,58.222222222222214,0.0,0.0,0.06666666666666667,0.06666814818107068,0.0666681481810707
2023-10-12 06:29:15,52.5,2.2675232865749284,13.354962001688813,27.90668227806779,0.6666666666666666,2.7335155677045138,0.20790322580645165,0.01775,0.09098308616018877,0.0045000000000000005,,0.02222058823529411,0.11115310228308473,42.39905779871558,0.0,0.0,0.06669186136985084,0.06668741386209044,0.06666518521810627
